,Rank,Total Assets,Bank Name
1176,1176,"$791,689,000",Belmont Bank & Trust Company
1177,1177,"$790,477,000",Vinings Bank
1178,1178,"$790,476,000",Bank of Wisconsin Dells
1179,1179,"$790,373,000",Citizens Bank & Trust
1180,1180,"$788,957,000",Amerasia Bank
1181,1181,"$788,622,000",National Bank
1182,1182,"$788,579,000",Cornhusker Bank
1183,1183,"$788,399,000",The Cortland Savings and Banking Company
1184,1184,"$787,591,000",Brentwood Bank
1185,1185,"$786,966,000",United Prairie Bank
1186,1186,"$786,780,000",First State Bank
1187,1187,"$784,930,000",First National Bank of Waterloo
1188,1188,"$783,989,000",Greenfield Co-operative Bank
1189,1189,"$783,826,000",Pacific National Bank
1190,1190,"$782,992,000",Vast Bank
1191,1191,"$780,572,000",First Commercial Bank (USA)
1192,1192,"$780,341,000",Baker-Boyer National Bank
1193,1193,"$780,227,000",First State Bank Nebraska
1194,1194,"$779,435,000",BankIowa of Cedar Rapids
1195,1195,"$778,727,000",The Bank of Canton
1196,1196,"$778,699,000",The Farmers Bank
1197,1197,"$778,109,000",First State Bank
1198,1198,"$777,142,000",American State Bank & Trust Company
1199,1199,"$777,096,000",Security Bank and Trust Company
1200,1200,"$776,580,000",Tolleson Private Bank
1201,1201,"$775,787,000",Summit Bank
1202,1202,"$775,522,000",Hickory Point Bank and Trust
1203,1203,"$775,423,000",Southwestern National Bank
1204,1204,"$775,188,000",First Southern Bank
1205,1205,"$774,956,000",First Reliance Bank
1206,1206,"$774,880,000",American Bank
1207,1207,"$774,484,000",Alliance Bank
1208,1208,"$774,353,000",Forward Bank
1209,1209,"$774,326,000",Financial Federal Bank
1210,1210,"$774,131,000","Jonestown Bank and Trust Company, of Jonestown, Pennsylvania"
1211,1211,"$773,816,000",Walden Savings Bank
1212,1212,"$772,438,000",Commerce State Bank
1213,1213,"$771,479,000",West Michigan Community Bank
1214,1214,"$770,199,000",Farm Bureau Bank FSB
1215,1215,"$770,167,000",Security Bank
1216,1216,"$769,209,000",Adams Community Bank
1217,1217,"$768,514,000",Hebron Savings Bank
1218,1218,"$767,880,000",Winchester Co-operative Bank
1219,1219,"$767,581,000",Pilot Grove Savings Bank
1220,1220,"$765,937,000",Central Bank of Oklahoma
1221,1221,"$765,459,000",First Savings Bank of Hegewisch
1222,1222,"$765,225,000","Citizens Bank of Kentucky, Inc."
1223,1223,"$764,141,000",Peoples Bank
1224,1224,"$762,787,000",The Evangeline Bank and Trust Company
1225,1225,"$762,107,000",Community Bank of the Bay
1226,1226,"$761,283,000",The Old Fort Banking Company
1227,1227,"$759,350,000",Oxford Bank & Trust
1228,1228,"$758,734,000",Magyar Bank
1229,1229,"$758,708,000",Greenfield Banking Company
1230,1230,"$758,681,000",Truxton Trust Company
1231,1231,"$758,278,000",First Security Bank
1232,1232,"$758,038,000",West Alabama Bank & Trust
1233,1233,"$757,740,000",Liberty National Bank
1234,1234,"$756,825,000",Oxford Bank
1235,1235,"$756,279,000",R Bank
1236,1236,"$754,577,000",Progressive Bank
1237,1237,"$754,518,000",Aquesta Bank
1238,1238,"$752,412,000",The First National Bank of McGregor
1239,1239,"$752,058,000","The Farmers Bank, Frankfort, Indiana"
1240,1240,"$751,879,000",Citizens 1st Bank
1241,1241,"$751,536,000",Vermillion State Bank
1242,1242,"$749,697,000","The Peoples Bank, Biloxi, Mississippi"
1243,1243,"$749,273,000","Calvin B. Taylor Banking Company of Berlin, Maryland"
1244,1244,"$748,941,000",United Bank & Trust
1245,1245,"$745,894,000",Dogwood State Bank
1246,1246,"$745,446,000",Iroquois Federal Savings and Loan Association
1247,1247,"$745,335,000",United Southern Bank
1248,1248,"$745,001,000",Sanibel Captiva Community Bank
1249,1249,"$744,953,000",CIBM Bank
1250,1250,"$744,283,000",Skowhegan Savings Bank
1251,1251,"$743,934,000",GBC International Bank
1252,1252,"$742,758,000",Merchants & Marine Bank
1253,1253,"$742,704,000",Itasca Bank & Trust Co.
1254,1254,"$742,649,000","The Pitney Bowes Bank, Inc."
1255,1255,"$741,816,000",PARTNERS BANK OF NEW ENGLAND
1256,1256,"$741,510,000",Round Top State Bank
1257,1257,"$740,281,000",Marine Bank
1258,1258,"$740,081,000",Banco do Brasil Americas
1259,1259,"$739,042,000",Iowa State Bank
1260,1260,"$737,901,000",Envision Bank
1261,1261,"$736,819,000",Bank of Bridger
1262,1262,"$736,779,000",Home State Bank
1263,1263,"$736,288,000",Security State Bank
1264,1264,"$735,911,000",Unified Bank
1265,1265,"$735,525,000",Security Bank & Trust Company
1266,1266,"$734,789,000",The Citizens Bank
1267,1267,"$734,074,000",Department Stores National Bank
1268,1268,"$733,758,000",Diamond Bank
1269,1269,"$733,704,000",Plains State Bank
1270,1270,"$733,362,000",Heartland Bank
1271,1271,"$732,624,000",Synergy Bank
1272,1272,"$732,294,000",Parkside Financial Bank & Trust
1273,1273,"$731,624,000",The Bank of Fayette County
1274,1274,"$729,573,000","Citizens State Bank of New Castle, Indiana"
1275,1275,"$729,564,000",Jackson County Bank
1276,1276,"$728,718,000",First Bank of Alabama
1277,1277,"$728,317,000",Pioneer Bank
1278,1278,"$727,243,000",Atlantic Community Bankers Bank
1279,1279,"$726,236,000",Mechanics Bank
1280,1280,"$725,636,000",Bank of San Francisco
1281,1281,"$725,224,000",Ballston Spa National Bank
1282,1282,"$725,207,000",Bank of Commerce
1283,1283,"$721,606,000",NVE Bank
1284,1284,"$721,105,000",Falcon National Bank
1285,1285,"$720,851,000",Prime Meridian Bank
1286,1286,"$720,238,000",Brannen Bank
1287,1287,"$719,930,000",SpiritBank
1288,1288,"$719,440,000",Core Bank
1289,1289,"$716,154,000",Village Bank
1290,1290,"$715,760,000",Pointbank
1291,1291,"$715,538,000",First Bank
1292,1292,"$713,692,000",First State Bank of Middlebury
1293,1293,"$713,407,000",Mainstreet Community Bank of Florida
1294,1294,"$712,952,000",Citizens Bank
1295,1295,"$712,297,000",Rock Canyon Bank
1296,1296,"$711,777,000",Northeast Bank
1297,1297,"$711,363,000",FCN Bank
1298,1298,"$710,253,000",Bank of Eastern Oregon
1299,1299,"$709,539,000",The Killbuck Savings Bank Company
1300,1300,"$709,116,000",Middletown Valley Bank
1301,1301,"$708,803,000",Sturgis Bank & Trust Company
1302,1302,"$708,398,000",Peoples Bank
1303,1303,"$708,263,000",Seattle Bank
1304,1304,"$707,374,000",Blue Ridge Bank and Trust Co.
1305,1305,"$706,038,000",Lake Shore Savings Bank
1306,1306,"$705,711,000",First National Bank North
1307,1307,"$704,724,000",Southcrest Bank
1308,1308,"$703,743,000",BTC Bank
1309,1309,"$703,630,000",Rio Bank
1310,1310,"$703,215,000",Pioneer Trust Bank
1311,1311,"$702,990,000",Farmers & Merchants Savings Bank
1312,1312,"$701,534,000",Jefferson Bank and Trust Company
1313,1313,"$698,490,000",First Southern State Bank
1314,1314,"$698,205,000",Windsor Federal Savings and Loan Association
1315,1315,"$697,447,000","Kleberg Bank, N.A."
1316,1316,"$697,147,000",Farmers and Merchants Bank
1317,1317,"$695,399,000",Resource Bank
1318,1318,"$695,324,000",InBank
1319,1319,"$694,752,000",Legacy National Bank
1320,1320,"$694,376,000",Ledyard National Bank
1321,1321,"$693,092,000",Simply Bank
1322,1322,"$692,728,000",Grand Savings Bank
1323,1323,"$691,582,000",Savoy Bank
1324,1324,"$689,559,000",Edmonton State Bank
1325,1325,"$689,209,000",Bank of the West
1326,1326,"$688,247,000",Albany Bank and Trust Company
1327,1327,"$685,502,000",Prospect Bank
1328,1328,"$685,443,000","StonehamBank, A Co-operative Bank"
1329,1329,"$683,627,000",Carver Federal Savings Bank
1330,1330,"$683,412,000",The Dart Bank
1331,1331,"$683,101,000",Pinnacle Bank
1332,1332,"$682,712,000",Texas Gulf Bank
1333,1333,"$682,508,000",The Savings Bank
1334,1334,"$681,604,000",Town & Country Bank
1335,1335,"$680,317,000",Minster Bank
1336,1336,"$679,362,000",First Central Savings Bank
1337,1337,"$678,389,000",Cumberland Valley National Bank & Trust Company
1338,1338,"$677,420,000",Norwood Co-operative Bank
1339,1339,"$676,396,000",Old Missouri Bank
1340,1340,"$676,136,000",First Central State Bank
1341,1341,"$676,116,000",York Traditions Bank
1342,1342,"$674,165,000",St. Louis Bank
1343,1343,"$673,841,000",Bank of Pontiac
1344,1344,"$673,688,000",Pacific Enterprise Bank
1345,1345,"$671,724,000",HNB National Bank
1346,1346,"$671,717,000",American Bank of the North
1347,1347,"$670,844,000",Evolve Bank & Trust
1348,1348,"$670,077,000",Mechanics Cooperative Bank
1349,1349,"$669,712,000",Arthur State Bank
1350,1350,"$668,960,000",Texas National Bank of Jacksonville
1351,1351,"$668,376,000",American Federal Bank
1352,1352,"$666,532,000",The Berkshire Bank
1353,1353,"$663,831,000",Savers Co-operative Bank
1354,1354,"$663,395,000",Franklin Bank & Trust Company
1355,1355,"$663,088,000",Lead Bank
1356,1356,"$661,988,000",Jeff Bank
1357,1357,"$661,138,000",Bank of Charles Town
1358,1358,"$659,634,000",Royal Bank
1359,1359,"$659,570,000",Elmira Savings Bank
1360,1360,"$659,343,000",Reading Co-operative Bank
1361,1361,"$659,308,000",Generations Bank
1362,1362,"$659,128,000",1st Colonial Community Bank
1363,1363,"$658,534,000",University Bank
1364,1364,"$657,840,000",First Bank & Trust Co.
1365,1365,"$657,656,000",Peoples Bank & Trust Co.
1366,1366,"$657,543,000","First Hope Bank, A National Banking Association"
1367,1367,"$657,202,000",Dairy State Bank
1368,1368,"$656,796,000",Centennial Bank
1369,1369,"$656,506,000",Oakwood Bank
1370,1370,"$656,023,000",Pilot Bank
1371,1371,"$655,371,000",Wheatland Bank
1372,1372,"$654,094,000",Denmark State Bank
1373,1373,"$653,601,000",Texas Bank
1374,1374,"$653,536,000",Putnam County Bank
1375,1375,"$653,145,000",Reliance Savings Bank
1376,1376,"$652,965,000",Coastal Carolina National Bank
1377,1377,"$652,946,000",OneUnited Bank
1378,1378,"$652,892,000",Axiom Bank
1379,1379,"$652,781,000",The Peoples Bank Co.
1380,1380,"$652,734,000",American State Bank & Trust Company of Williston
1381,1381,"$651,913,000",Palmetto State Bank
1382,1382,"$651,852,000",The Stephenson National Bank and Trust
1383,1383,"$651,738,000",SULLIVAN BANK
1384,1384,"$651,679,000",Wilson & Muir Bank & Trust Company
1385,1385,"$651,519,000",First National Bank of Oklahoma
1386,1386,"$650,768,000",BNA Bank
1387,1387,"$650,473,000",The First State Bank
1388,1388,"$649,542,000",First National Bank of Scotia
1389,1389,"$647,672,000",Fayetteville Bank
1390,1390,"$647,629,000",Highland Bank
1391,1391,"$645,352,000",Countybank
1392,1392,"$645,269,000",Texas Bank
1393,1393,"$644,803,000",First Bank
1394,1394,"$643,685,000",South Louisiana Bank
1395,1395,"$643,084,000",Mid America Bank
1396,1396,"$642,744,000",Franklin Savings Bank
1397,1397,"$641,084,000",Bank of Botetourt
1398,1398,"$640,993,000",Lindell Bank & Trust Company
1399,1399,"$640,937,000",Georgia Banking Company
1400,1400,"$640,424,000",The Bank of Southside Virginia
1401,1401,"$640,228,000",The Fairfield National Bank
1402,1402,"$638,634,000",Oregon Pacific Banking Company dba Oregon Pacific Bank
1403,1403,"$638,343,000",Legacy Bank & Trust Company
1404,1404,"$638,118,000",Quantum National Bank
1405,1405,"$637,450,000",First Bank
1406,1406,"$637,414,000",FNBC Bank & Trust
1407,1407,"$636,314,000",Clinton Savings Bank
1408,1408,"$635,866,000",Citizens Deposit Bank & Trust
1409,1409,"$635,832,000",Midwest Bank
1410,1410,"$634,653,000",InsBank
1411,1411,"$634,325,000",Community Bank of Louisiana
1412,1412,"$633,922,000",Chippewa Valley Bank
1413,1413,"$633,876,000",Heartland National Bank
1414,1414,"$633,728,000",Carolina Bank & Trust Co.
1415,1415,"$633,218,000",Pennian Bank
1416,1416,"$633,121,000",First National Bank in Howell
1417,1417,"$632,140,000",Artisans' Bank
1418,1418,"$632,006,000",Connecticut Community Bank
1419,1419,"$631,307,000",State Bank
1420,1420,"$631,142,000",First National Bank of Gillette
1421,1421,"$630,763,000",The Northumberland National Bank
1422,1422,"$630,683,000","Community First Bank, Inc."
1423,1423,"$630,671,000","Somerset Savings Bank, SLA"
1424,1424,"$630,467,000",Everett Co-operative Bank
1425,1425,"$630,187,000",The National Capital Bank of Washington
1426,1426,"$628,339,000",21st Century Bank
1427,1427,"$628,310,000",AbbyBank
1428,1428,"$628,287,000",Legends Bank
1429,1429,"$627,546,000",Citizens Bank
1430,1430,"$627,296,000",The Malvern National Bank
1431,1431,"$626,847,000",Legence Bank
1432,1432,"$626,693,000",CNB St Louis Bank
1433,1433,"$626,687,000",First Community Bank
1434,1434,"$625,861,000",Security Financial Bank
1435,1435,"$625,193,000",Bank of Idaho
1436,1436,"$624,645,000",BOM Bank
1437,1437,"$623,941,000",United Community Bank
1438,1438,"$622,933,000",Bank of Bird-in-Hand
1439,1439,"$622,656,000",RSI BANK
1440,1440,"$622,146,000",First Utah Bank
1441,1441,"$621,184,000",Midstates Bank
1442,1442,"$620,800,000",Rocky Mountain Bank
1443,1443,"$620,459,000",FIRST COMMERCIAL BANK
1444,1444,"$619,926,000",Primary Bank
1445,1445,"$619,162,000",The Bank of Elk River
1446,1446,"$618,259,000",Providence Bank
1447,1447,"$617,597,000",Midwest Bank
1448,1448,"$616,789,000",Concordia Bank & Trust Company
1449,1449,"$616,756,000",Security State Bank
1450,1450,"$616,109,000",Bank of England
1451,1451,"$615,641,000",Reliabank Dakota
1452,1452,"$615,589,000",GNB Bank
1453,1453,"$615,039,000",Hometown Bank
1454,1454,"$614,250,000",Wayne Savings Community Bank
1455,1455,"$614,110,000",Woodsville Guaranty Savings Bank
1456,1456,"$614,037,000",The First National Bank of Albany
1457,1457,"$613,162,000",First Citrus Bank
1458,1458,"$612,804,000",Beach Bank
1459,1459,"$611,097,000",Winchester Savings Bank
1460,1460,"$610,521,000",The First National Bank of Middle Tennessee
1461,1461,"$610,154,000","First & Farmers National Bank, Inc."
1462,1462,"$609,228,000",Farmers & Merchants Bank
1463,1463,"$608,971,000",SouthPoint Bank
1464,1464,"$608,770,000",The First National Bank of Carmi
1465,1465,"$607,037,000",F & M Bank
1466,1466,"$606,052,000",First National Bank and Trust Company of Ardmore
1467,1467,"$605,844,000",First State Bank
1468,1468,"$605,306,000",The Queenstown Bank of Maryland
1469,1469,"$605,175,000",Marion County State Bank
1470,1470,"$604,770,000",Timberline Bank
1471,1471,"$603,977,000",Bank of Prairie du Sac
1472,1472,"$603,915,000",Western Commerce Bank
1473,1473,"$603,450,000",Green Belt Bank & Trust
1474,1474,"$603,205,000",Pilgrim Bank
1475,1475,"$602,454,000",Lisle Savings Bank
1476,1476,"$601,994,000",C3bank
1477,1477,"$601,905,000",Commerce Bank
1478,1478,"$601,255,000",Citizens Trust Bank
1479,1479,"$601,205,000",FNBC Bank
1480,1480,"$600,487,000",1st Financial Bank USA
1481,1481,"$599,880,000","Middlesex Federal Savings, F.A."
1482,1482,"$599,773,000",First Security Bank and Trust Company
1483,1483,"$599,665,000",Unity Bank
1484,1484,"$597,589,000",Farmers Bank
1485,1485,"$597,131,000",Savings Bank of Walpole
1486,1486,"$596,906,000",First Eagle Bank
1487,1487,"$596,090,000",Triad Bank
1488,1488,"$595,673,000",Huntingdon Valley Bank
1489,1489,"$595,202,000",First Freedom Bank
1490,1490,"$594,882,000",Legacy Bank of Florida
1491,1491,"$594,239,000",Terrabank
1492,1492,"$593,593,000",Field & Main Bank
1493,1493,"$593,569,000",Peoples Community Bank
1494,1494,"$592,397,000","Auto Club Trust, FSB"
1495,1495,"$592,338,000",Evergreen Federal Bank
1496,1496,"$591,660,000",West Shore Bank
1497,1497,"$591,255,000",Geddes Federal Savings and Loan Association
1498,1498,"$590,109,000",Texas Bank Financial
1499,1499,"$589,934,000",ABINGTON BANK
1500,1500,"$589,035,000",The Citizens National Bank of Somerset
1501,1501,"$588,133,000",American Bank
1502,1502,"$587,835,000",FirsTier Bank
1503,1503,"$587,660,000",Century Savings Bank
1504,1504,"$587,146,000",Heritage Bank
1505,1505,"$586,379,000",VISIONBANK OF IOWA
1506,1506,"$586,147,000","FNB Bank, Inc."
1507,1507,"$586,065,000",FNBT BANK
1508,1508,"$586,061,000","American Plus Bank, N.A."
1509,1509,"$584,466,000",The Pueblo Bank and Trust Company
1510,1510,"$584,263,000",Stillman BancCorp N.A.
1511,1511,"$584,242,000",Legacy Bank
1512,1512,"$582,806,000",Decorah Bank & Trust Company
1513,1513,"$582,520,000",Community First Bank
1514,1514,"$582,519,000",Virginia Partners Bank
1515,1515,"$580,625,000","Finance Factors, Ltd."
1516,1516,"$580,265,000",Citizens Bank Minnesota
1517,1517,"$579,445,000",First Federal Community Bank
1518,1518,"$579,437,000",First National Bank of Louisiana
1519,1519,"$579,182,000",Sauk Valley Bank & Trust Company
1520,1520,"$579,080,000",The Hardin County Bank
1521,1521,"$579,065,000",Commencement Bank
1522,1522,"$578,412,000",Mt. McKinley Bank
1523,1523,"$578,104,000",Winter Park National Bank
1524,1524,"$577,874,000",CCB Community Bank
1525,1525,"$577,693,000",Farmers State Bank
1526,1526,"$576,943,000",Valliance Bank
1527,1527,"$576,538,000",Northeast Georgia Bank
1528,1528,"$576,228,000",AMG National Trust Bank
1529,1529,"$576,023,000",BancCentral
1530,1530,"$575,939,000",Industrial Bank
1531,1531,"$575,156,000",Farmers Bank
1532,1532,"$575,145,000",First Bank of Owasso
1533,1533,"$575,044,000",Southwest Bank
1534,1534,"$574,718,000",Walpole Co-operative Bank
1535,1535,"$574,710,000",Crest Savings Bank
1536,1536,"$574,262,000",Union State Bank
1537,1537,"$573,019,000",Bank of Brenham
1538,1538,"$572,841,000",Central Bank of Sedalia
1539,1539,"$572,756,000","Hatboro Federal Savings, FA"
1540,1540,"$572,734,000",First Federal Savings and Loan Association of McMinnville
1541,1541,"$572,704,000",Bank of Oak Ridge
1542,1542,"$572,136,000",City State Bank
1543,1543,"$572,084,000",First Bank Kansas
1544,1544,"$571,673,000","Provident State Bank, Inc."
1545,1545,"$571,580,000",Catskill Hudson Bank
1546,1546,"$570,538,000",Regal Bank
1547,1547,"$570,483,000",BankOrion
1548,1548,"$570,332,000",FNB Community Bank
1549,1549,"$569,891,000",Tioga State Bank
1550,1550,"$569,702,000",Premier Bank
1551,1551,"$569,574,000",The Luzerne Bank
1552,1552,"$569,485,000",WOODTRUST BANK
1553,1553,"$569,253,000",Commercial Bank
1554,1554,"$568,991,000",FirstBank
1555,1555,"$568,948,000",DMB Community Bank
1556,1556,"$568,820,000",Greenville National Bank
1557,1557,"$568,760,000",Touchstone Bank
1558,1558,"$568,612,000",The Western State Bank
1559,1559,"$568,443,000",First Bank
1560,1560,"$568,322,000",New OMNI Bank
1561,1561,"$568,294,000",Schertz Bank & Trust
1562,1562,"$567,882,000",Fortress Bank
1563,1563,"$566,942,000",Freedom Bank
1564,1564,"$566,791,000",First State Bank
1565,1565,"$566,742,000",South Ottumwa Savings Bank
1566,1566,"$566,443,000",American Nation Bank
1567,1567,"$566,136,000",Community State Bank
1568,1568,"$565,066,000",Home Federal Bank
1569,1569,"$564,932,000",Southeastern Bank
1570,1570,"$564,677,000",Northwestern Bank
1571,1571,"$563,997,000","American Bank & Trust Company, Inc."
1572,1572,"$563,332,000",Community Federal Savings Bank
1573,1573,"$563,145,000",Phoenixville Federal Bank and Trust
1574,1574,"$562,875,000",The Community Bank
1575,1575,"$562,035,000",Crown Bank
1576,1576,"$561,947,000",Quaint Oak Bank
1577,1577,"$561,550,000",1st Bank Yuma
1578,1578,"$561,144,000",The Muncy Bank and Trust Company
1579,1579,"$560,786,000",The Andover Bank
1580,1580,"$559,803,000","First Bank, Upper Michigan"
1581,1581,"$557,493,000",First Community Bank
1582,1582,"$557,316,000",South Georgia Banking Company
1583,1583,"$556,315,000",The Maries County Bank
1584,1584,"$554,631,000",Macon Bank and Trust Company
1585,1585,"$554,208,000",Community National Bank
1586,1586,"$553,816,000",The Bank of South Carolina
1587,1587,"$553,220,000",First National Bank of Huntsville
1588,1588,"$552,690,000",First Bank
1589,1589,"$551,526,000",Huntington Federal Savings Bank
1590,1590,"$551,103,000",Solera National Bank
1591,1591,"$550,231,000",United Valley Bank
1592,1592,"$550,045,000","The Peoples State Bank of Newton, Illinois"
1593,1593,"$548,268,000",Platte Valley Bank
1594,1594,"$548,091,000",Clear Lake Bank and Trust Company
1595,1595,"$547,633,000",Frontier State Bank
1596,1596,"$547,088,000","Community Bank & Trust, Waco, Texas"
1597,1597,"$546,991,000",Redwood Capital Bank
1598,1598,"$546,869,000",Bankers' Bank of the West
1599,1598,"$546,869,000",New Tripoli Bank
1600,1600,"$546,785,000",Texas Citizens Bank
1601,1601,"$546,732,000",First State Bank of Blakely
1602,1602,"$546,650,000",First National Bank & Trust Company of McAlester
1603,1603,"$546,374,000",AccessBank Texas
1604,1604,"$546,297,000",Cross County Savings Bank
1605,1605,"$546,042,000",Capital Bank
1606,1606,"$544,796,000",PromiseOne Bank
1607,1607,"$544,159,000",Primebank
1608,1608,"$543,989,000",American Bank
1609,1609,"$543,311,000",CUSB Bank
1610,1610,"$542,823,000",CFSBANK
1611,1611,"$542,391,000",Southwest National Bank
1612,1612,"$542,304,000",The Fountain Trust Company
1613,1613,"$541,862,000",First Neighbor Bank
1614,1614,"$541,812,000",Monson Savings Bank
1615,1615,"$541,539,000",Grand Valley Bank
1616,1616,"$540,419,000","Pendleton Community Bank, Inc."
1617,1617,"$539,879,000",American State Bank
1618,1618,"$539,225,000",Freedom Bank of Southern Missouri
1619,1619,"$539,078,000",Herring Bank
1620,1620,"$538,514,000",Freedom Bank
1621,1621,"$538,266,000",Mauch Chunk Trust Company
1622,1622,"$538,187,000",Peoples National Bank of Kewanee
1623,1623,"$538,148,000",Horizon Community Bank
1624,1624,"$537,416,000",The Bank of Old Monroe
1625,1625,"$537,228,000",Cornerstone Community Bank
1626,1626,"$537,031,000",Sage Capital Bank
1627,1627,"$536,881,000",Woodlands Bank
1628,1628,"$536,756,000",Century Next Bank
1629,1629,"$536,468,000",MidSouth Bank
1630,1630,"$536,261,000",Stone Bank
1631,1631,"$536,175,000",First Option Bank
1632,1632,"$536,015,000",Oconee Federal Savings and Loan Association
1633,1633,"$536,008,000",Ixonia Bank
1634,1634,"$535,907,000",The Eastern Colorado Bank
1635,1635,"$535,602,000",First State Bank and Trust Company
1636,1636,"$534,716,000",First Liberty Bank
1637,1637,"$534,506,000",RiverWood Bank
1638,1638,"$534,340,000",Mountain Pacific Bank
1639,1639,"$533,326,000",Main Street Bank Corp.
1640,1640,"$533,303,000",Haverhill Bank
1641,1641,"$533,244,000",Peoples Bank & Trust
1642,1642,"$532,367,000","Titan Bank, N.A."
1643,1643,"$532,136,000",Western States Bank
1644,1644,"$532,130,000",T Bank
1645,1645,"$531,658,000",County Bank
1646,1646,"$530,897,000",Hiawatha National Bank
1647,1647,"$530,003,000",The First National Bank of Sonora
1648,1648,"$529,766,000",Florida Capital Bank
1649,1649,"$529,282,000",Exchange Bank & Trust
1650,1650,"$528,760,000",Charlotte State Bank & Trust
1651,1651,"$528,421,000",Metairie Bank & Trust Company
1652,1652,"$528,419,000",West Plains Bank and Trust Company
1653,1653,"$528,394,000",Citizens National Bank
1654,1654,"$528,375,000","First Kentucky Bank, Inc."
1655,1655,"$528,047,000",First National Bank of Eastern Arkansas
1656,1656,"$528,013,000",Capitol Bank
1657,1657,"$527,764,000",Empire State Bank
1658,1658,"$527,509,000",Hoyne Savings Bank
1659,1659,"$527,204,000",TruPoint Bank
1660,1660,"$526,758,000",Athol Savings Bank
1661,1661,"$526,447,000",Community Bank
1662,1662,"$526,438,000","Profinium, Inc."
1663,1663,"$526,342,000",Citizens Bank and Trust Company
1664,1664,"$525,730,000",The First Bank of Greenwich
1665,1665,"$524,808,000",Community First Bank
1666,1666,"$523,597,000",The Bank of Bennington
1667,1667,"$522,909,000",Washington County Bank
1668,1668,"$522,842,000",Royal Savings Bank
1669,1669,"$522,809,000",Mifflinburg Bank and Trust Company
1670,1670,"$522,511,000","Magnolia Bank, Incorporated"
1671,1671,"$522,430,000","First Federal Community Bank, SSB"
1672,1672,"$522,417,000",The North Salem State Bank
1673,1673,"$521,811,000",Sunstate Bank
1674,1674,"$521,174,000",Bank of George
1675,1675,"$520,941,000",First Federal Savings Bank
1676,1676,"$520,876,000",Gulf Coast Bank
1677,1677,"$520,319,000",Bank of Ocean City
1678,1678,"$520,192,000",Intracoastal Bank
1679,1679,"$517,866,000",PremierBank
1680,1680,"$517,342,000",Community First Bank
1681,1681,"$517,082,000","The Bank and Trust, S.S.B."
1682,1682,"$516,883,000",Arbor Bank
1683,1683,"$516,586,000",Liberty National Bank
1684,1684,"$515,995,000",First Northern Bank of Wyoming
1685,1685,"$515,938,000",Oconee State Bank
1686,1686,"$515,861,000",The National Bank of Middlebury
1687,1687,"$515,533,000",First Piedmont Federal Savings and Loan Association of Gaffney
1688,1688,"$515,417,000","SouthTrust Bank, N.A."
1689,1689,"$515,355,000","KS Bank, Inc."
1690,1690,"$515,201,000","PyraMax Bank, FSB"
1691,1691,"$515,100,000",The Peoples Bank
1692,1692,"$514,436,000","WNB FINANCIAL, N.A."
1693,1693,"$513,652,000",Slovenian Savings and Loan Association of Canonsburg
1694,1694,"$513,498,000",DeMotte State Bank
1695,1695,"$513,227,000",Susquehanna Community Bank
1696,1696,"$512,664,000",FSNB
1697,1697,"$512,586,000",Fortifi Bank
1698,1698,"$512,286,000",Seamen's Bank
1699,1699,"$511,976,000",Traditions Bank
1700,1700,"$511,770,000",Mercer County State Bank
1701,1701,"$511,651,000",Endeavor Bank
1702,1702,"$510,253,000",The Milford Bank
1703,1703,"$510,156,000",Franklin Savings Bank
1704,1704,"$509,776,000",American Bank of Missouri
1705,1705,"$509,650,000",Prime Alliance Bank
1706,1706,"$509,599,000",First State Bank
1707,1707,"$509,353,000",The Hometown Bank of Alabama
1708,1708,"$508,478,000",Harford Bank
1709,1709,"$507,600,000",Bank of Sun Prairie
1710,1710,"$507,140,000",Frontier Bank of Texas
1711,1711,"$506,756,000",Eagle Bank
1712,1712,"$506,697,000",River Valley Community Bank
1713,1713,"$506,513,000",First Western Bank
1714,1714,"$506,354,000",First Community Bank of Central Alabama
1715,1715,"$506,304,000",The Bank of Marion
1716,1716,"$506,092,000",M1 Bank
1717,1717,"$505,693,000",Wellington State Bank
1718,1718,"$505,410,000","CNB Bank, Inc."
1719,1719,"$505,362,000",The Peoples Bank
1720,1720,"$505,353,000",Essex Savings Bank
1721,1721,"$503,985,000",The Genoa Banking Company
1722,1722,"$502,943,000","Sterling Federal Bank, F.S.B."
1723,1723,"$501,975,000",The First National Bank of Las Animas
1724,1724,"$501,638,000",First Commerce Bank
1725,1725,"$500,980,000",Community Savings Bank
1726,1726,"$500,875,000",The Citizens State Bank
1727,1727,"$500,264,000",Fidelity Bank
1728,1728,"$499,761,000",Classic Bank
1729,1729,"$499,545,000",MidAmerica National Bank
1730,1730,"$499,127,000",Lake Elmo Bank
1731,1731,"$498,882,000",Jonah Bank of Wyoming
1732,1732,"$498,724,000",Springs Valley Bank & Trust Company
1733,1733,"$498,405,000",Baraboo State Bank
1734,1734,"$498,299,000",American Heritage National Bank
1735,1735,"$497,697,000",Bank of Hillsboro
1736,1736,"$497,436,000",First Century Bank
1737,1737,"$496,584,000",First Chatham Bank
1738,1738,"$495,985,000",MRV Banks
1739,1739,"$495,916,000",CNB Bank
1740,1740,"$495,667,000",Paragon Bank
1741,1741,"$495,024,000",Millennium Bank
1742,1742,"$495,007,000",Range Bank
1743,1743,"$494,177,000",Eastern Michigan Bank
1744,1744,"$494,003,000",Claremont Savings Bank
1745,1745,"$493,789,000",International City Bank Federal Savings Bank
